"Age","LearningCategorySelftTaught","LearningCategoryOnlineCourses","LearningCategoryWork","LearningCategoryUniversity","LearningCategoryKaggle","GenderSelect","Country","EmploymentStatus","DataScienceIdentitySelect","FormalEducation","MajorSelect","Tenure","FirstTrainingSelect","ParentsEducation","EmployerIndustry","EmployerSize","EmployerSizeChange","EmployerMLTime","EmployerSearchMethod","RemoteWork","CompensationAmount","CompensationCurrency","FormalEducation_Q","Tenure_Q","EmployerSize_Q","...1","exchangeRate","frac","Salary_USD","Compensation_Median_USD","Median_to_Salary"
26,5,15,20,60,0,"Male","Germany","Employed part-time","Yes","Bachelor's degree","Computer Science","Less than a year","University courses","A master's degree","Technology","Fewer than 10 employees","Increased slightly","Less than one year","I visited the company's Web site and found a job listing there","Most of the time",5400,"EUR",4,1,1,2,1.195826,0.99,77489.5248,71749.56,0.925925925925926
52,50,0,30,20,0,"Male","Russia","Employed full-time","Yes","Professional degree","","More than 10 years","University courses","A doctoral degree","Mix of fields","500 to 999 employees","Stayed the same","6-10 years","Some other way","Sometimes",60000,"USD",2,5,5,1,1,0.21,60000,22622.6,0.377043333333333
39,20,10,0,60,10,"Male","Canada","Employed full-time","Yes","Master's degree","Computer Science","More than 10 years","University courses","A master's degree","Technology","10,000 or more employees","Stayed the same","Less than one year","I visited the company's Web site and found a job listing there","Rarely",90000,"CAD",5,5,8,7,0.823688,0.95,74131.92,74131.92,1
34,0,95,0,0,0,"Female","Portugal","Employed full-time","","Master's degree","Mathematics or statistics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","Primary/elementary school","Technology","100 to 499 employees","Increased slightly","Less than one year","A general-purpose job board","Never",18500,"EUR",5,3,4,2,1.195826,1,22122.781,28699.824,1.2972972972973
30,60,0,20,20,0,"Male","Russia","Employed full-time","","Master's degree","Computer Science","More than 10 years","University courses","","Government","100 to 499 employees","Decreased significantly","1-2 years","A friend, family member, or former colleague told me","Rarely",2700000,"RUB",5,5,4,6,0.017402,0.76,46985.4,22622.6,0.481481481481482
31,30,60,10,0,0,"Male","India","Employed full-time","No","Master's degree","Information technology, networking, or system administration","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","High school","Technology","5,000 to 9,999 employees","Decreased significantly","3-5 years","An external recruiter or headhunter","Most of the time",1900000,"INR",5,3,7,3,0.01562,0.94,29678,15114.75,0.509291394298807
41,50,20,0,20,10,"Male","Greece","Employed full-time","No","Doctoral degree","Computer Science","3 to 5 years","University courses","A bachelor's degree","Hospitality/Entertainment/Sports","Fewer than 10 employees","Increased significantly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",80000,"GBP",6,3,1,4,1.324188,0.09,105935.04,34081.041,0.321716412246599
26,50,0,20,30,0,"Male","United States","Employed full-time","","Master's degree","Computer Science","6 to 10 years","Work","A master's degree","Internet-based","10,000 or more employees","Stayed the same","1-2 years","An external recruiter or headhunter","",250000,"USD",5,4,8,1,1,1,250000,110000,0.44
30,20,10,30,40,0,"Male","Poland","Employed full-time","Yes","Master's degree","Mathematics or statistics","1 to 2 years","University courses","A master's degree","CRM/Marketing","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Rarely",66000,"PLN",5,2,4,11,0.281104,0.92,18552.864,25299.36,1.36363636363636
29,20,10,10,60,0,"Female","Turkey","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","University courses","A bachelor's degree","Technology","20 to 99 employees","Decreased slightly","1-2 years","A friend, family member, or former colleague told me","Rarely",54000,"TRY",5,2,3,19,0.29178,0.87,15756.12,17506.8,1.11111111111111
32,40,0,20,40,0,"A different identity","Netherlands","Employed full-time","No","Master's degree","Other","1 to 2 years","University courses","A master's degree","Academic","Fewer than 10 employees","Stayed the same","3-5 years","A friend, family member, or former colleague told me","Sometimes",50000,"EUR",5,2,1,2,1.195826,1,59791.3,77130.777,1.29
35,50,0,50,0,0,"Male","Ukraine","Independent contractor, freelancer, or self-employed","Yes","Professional degree","","More than 10 years","Self-taught","A master's degree","CRM/Marketing","","","","","Most of the time",1e+05,"USD",2,5,NA,1,1,0.8,1e+05,18800.32,0.1880032
30,25,25,25,25,0,"Male","South Africa","Employed full-time","","Master's degree","Engineering (non-computer focused)","3 to 5 years","Self-taught","A master's degree","Mix of fields","20 to 99 employees","Increased significantly","3-5 years","Some other way","Rarely",570000,"ZAR",5,3,3,13,0.077002,0.96,43891.14,46201.2,1.05263157894737
55,40,10,50,0,0,"Female","Spain","Employed full-time","","Doctoral degree","Computer Science","6 to 10 years","Work","A professional degree","Mix of fields","Fewer than 10 employees","Decreased slightly","6-10 years","Some other way","Never",50000,"EUR",6,4,1,2,1.195826,0.98,59791.3,46637.214,0.78
30,25,25,0,50,0,"Male","India","Employed full-time","Yes","Doctoral degree","Other","6 to 10 years","University courses","High school","Technology","100 to 499 employees","Increased significantly","6-10 years","I visited the company's Web site and found a job listing there","Rarely",1400000,"INR",6,4,4,3,0.01562,0.94,21868,15114.75,0.691181177976953
34,10,10,30,40,10,"Male","Australia","Employed full-time","","Doctoral degree","Computer Science","More than 10 years","University courses","Some college/university study, no bachelor's degree","Technology","1,000 to 4,999 employees","Increased significantly","3-5 years","A general-purpose job board","Sometimes",250000,"AUD",6,5,6,8,0.80231,0.98,200577.5,96277.2,0.48
31,10,30,0,60,0,"Male","South Africa","Employed full-time","Yes","Master's degree","Computer Science","6 to 10 years","University courses","A master's degree","Technology","100 to 499 employees","Increased slightly","Less than one year","A friend, family member, or former colleague told me","Rarely",70000,"ZAR",5,4,4,13,0.077002,0.96,64681.68,46201.2,0.714285714285714
31,60,20,0,0,20,"Male","India","Employed full-time","Sort of (Explain more)","Master's degree","Mathematics or statistics","3 to 5 years","Self-taught","A bachelor's degree","Technology","10,000 or more employees","Decreased slightly","Don't know","A career fair or on-campus recruiting event","Most of the time",1300000,"INR",5,3,8,3,0.01562,0.94,20306,15114.75,0.744348960898257
43,70,30,0,0,0,"Male","South Africa","Employed full-time","No","Doctoral degree","A health science","3 to 5 years","Self-taught","A bachelor's degree","Academic","5,000 to 9,999 employees","","Don't know","A friend, family member, or former colleague told me","Most of the time",625000,"ZAR",6,3,7,13,0.077002,0.96,48126.25,46201.2,0.96
30,30,10,30,30,0,"Male","Russia","Employed full-time","Sort of (Explain more)","Doctoral degree","Other","3 to 5 years","Self-taught","A doctoral degree","Other","100 to 499 employees","Decreased slightly","3-5 years","A friend, family member, or former colleague told me","Sometimes",850000,"RUB",6,3,4,6,0.017402,0.76,14791.7,22622.6,1.52941176470588
24,0,0,40,40,20,"Male","Finland","Employed full-time","","Master's degree","Computer Science","Less than a year","Kaggle competitions","A master's degree","Other","20 to 99 employees","Increased significantly","1-2 years","I visited the company's Web site and found a job listing there","",600,"EUR",5,1,3,2,1.195826,1,717.4956,47593.8748,66.3333333333333
40,20,5,60,15,0,"Male","Germany","Employed full-time","","Doctoral degree","Computer Science","6 to 10 years","University courses","A master's degree","Mix of fields","100 to 499 employees","Increased slightly","More than 10 years","Some other way","Rarely",60000,"EUR",6,4,4,2,1.195826,0.99,71749.56,71749.56,1
32,80,0,0,20,0,"Female","Germany","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","A doctoral degree","Academic","Fewer than 10 employees","Decreased significantly","More than 10 years","A friend, family member, or former colleague told me","Sometimes",47000,"EUR",5,3,1,2,1.195826,0.99,56203.822,71749.56,1.27659574468085
32,50,30,10,10,0,"Male","Denmark","Employed full-time","Yes","Doctoral degree","Other","3 to 5 years","Self-taught","A master's degree","Pharmaceutical","500 to 999 employees","Stayed the same","Don't know","An external recruiter or headhunter","Sometimes",45000,"EUR",6,3,5,2,1.195826,0.11,53812.17,80365,1.49343540689773
27,30,40,10,20,0,"Male","Netherlands","Employed full-time","No","Doctoral degree","Mathematics or statistics","3 to 5 years","University courses","","Academic","I don't know","Increased slightly","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",25000,"EUR",6,3,10,2,1.195826,1,29895.65,77130.777,2.58
25,45,10,0,45,0,"Male","New Zealand","Employed full-time","Sort of (Explain more)","Bachelor's degree","Engineering (non-computer focused)","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","High school","Technology","20 to 99 employees","Increased slightly","Less than one year","Some other way","Never",45000,"NZD",4,2,3,27,0.727801,1,32751.045,61863.085,1.88888888888889
27,10,10,20,60,0,"Male","Germany","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","High school","Financial","20 to 99 employees","Increased significantly","1-2 years","Some other way","Rarely",50000,"EUR",5,3,3,2,1.195826,0.99,59791.3,71749.56,1.2
47,50,25,25,0,0,"Male","South Africa","Employed full-time","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Mathematics or statistics","3 to 5 years","Self-taught","High school","Hospitality/Entertainment/Sports","1,000 to 4,999 employees","Stayed the same","Less than one year","Some other way","Never",650000,"ZAR",3,3,6,13,0.077002,0.96,50051.3,46201.2,0.923076923076923
38,50,0,10,40,0,"Male","Japan","Employed full-time","Yes","Doctoral degree","Physics","6 to 10 years","Self-taught","A bachelor's degree","Academic","10 to 19 employees","Increased significantly","6-10 years","A friend, family member, or former colleague told me","",6e+06,"JPY",6,4,2,9,0.009108,0.91,54648,63756,1.16666666666667
40,10,40,25,20,5,"Male","Belgium","Employed full-time","No","Master's degree","Computer Science","More than 10 years","University courses","A bachelor's degree","Other","10,000 or more employees","Increased slightly","6-10 years","I visited the company's Web site and found a job listing there","Sometimes",59000,"EUR",5,5,8,2,1.195826,1,70553.734,65650.8474,0.930508474576271
48,50,40,0,0,10,"Male","Spain","Employed full-time","No","Master's degree","Computer Science","More than 10 years","Online courses (coursera, udemy, edx, etc.)","Primary/elementary school","Mix of fields","10,000 or more employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Sometimes",70000,"EUR",5,5,8,2,1.195826,0.98,83707.82,46637.214,0.557142857142857
26,80,0,20,0,0,"Male","India","Employed full-time","Yes","Professional degree","","3 to 5 years","Self-taught","A bachelor's degree","Technology","10 to 19 employees","Decreased slightly","1-2 years","A friend, family member, or former colleague told me","Sometimes",7e+05,"INR",2,3,2,3,0.01562,0.94,10934,15114.75,1.38236235595391
36,70,10,0,20,0,"Male","South Korea","Employed full-time","Sort of (Explain more)","Doctoral degree","Mathematics or statistics","3 to 5 years","Self-taught","High school","Manufacturing","1,000 to 4,999 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Sometimes",7.5e+07,"KRW",6,3,6,22,0.000886,0.8,66450,37212,0.56
55,10,5,10,0,0,"Female","Germany","Employed full-time","Sort of (Explain more)","Master's degree","Other","Less than a year","Other","A doctoral degree","Academic","100 to 499 employees","Stayed the same","Don't know","Some other way","Sometimes",35000,"EUR",5,1,4,2,1.195826,0.99,41853.91,71749.56,1.71428571428571
58,90,0,10,0,0,"Male","United States","Employed full-time","No","Master's degree","A humanities discipline","More than 10 years","Self-taught","A master's degree","Financial","5,000 to 9,999 employees","Stayed the same","More than 10 years","An external recruiter or headhunter","Sometimes",150000,"USD",5,5,7,1,1,1,150000,110000,0.733333333333333
26,0,0,40,50,10,"Female","Germany","Employed part-time","Yes","Master's degree","Mathematics or statistics","3 to 5 years","University courses","A master's degree","Academic","100 to 499 employees","","More than 10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",15600,"EUR",5,3,4,2,1.195826,0.99,18654.8856,71749.56,3.84615384615385
39,40,25,10,25,0,"Male","United Kingdom","Employed full-time","Sort of (Explain more)","Doctoral degree","A health science","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","5,000 to 9,999 employees","Stayed the same","More than 10 years","Some other way","Rarely",39000,"GBP",6,4,7,4,1.324188,0.96,51643.332,66209.4,1.28205128205128
25,50,20,0,0,30,"Male","Taiwan","Employed full-time","Yes","Bachelor's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Manufacturing","500 to 999 employees","Decreased slightly","3-5 years","A general-purpose job board","Rarely",20000,"USD",4,1,5,1,1,0.26,20000,30153.32,1.507666
24,30,40,30,0,0,"Male","Israel","Employed full-time","","Master's degree","","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Other","1,000 to 4,999 employees","Increased significantly","1-2 years","A friend, family member, or former colleague told me","Rarely",117600,"USD",5,3,6,1,1,0.5,117600,77500,0.659013605442177
39,100,0,0,0,0,"Male","United States","Employed full-time","No","Bachelor's degree","Other","3 to 5 years","Work","High school","Telecommunications","10,000 or more employees","Stayed the same","1-2 years","I visited the company's Web site and found a job listing there","Sometimes",64000,"USD",4,3,8,1,1,1,64000,110000,1.71875
31,15,5,50,30,0,"Male","Portugal","Employed full-time","Yes","Master's degree","Computer Science","6 to 10 years","University courses","A master's degree","Academic","I don't know","Increased slightly","Don't know","A friend, family member, or former colleague told me","Most of the time",11760,"EUR",5,4,10,2,1.195826,1,14062.91376,28699.824,2.04081632653061
23,40,10,20,10,20,"Male","Russia","Employed full-time","","Master's degree","Mathematics or statistics","1 to 2 years","University courses","A professional degree","Other","500 to 999 employees","Increased significantly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",520000,"RUB",5,2,5,6,0.017402,0.76,9049.04,22622.6,2.5
27,0,10,10,50,30,"Male","Iran","Employed full-time","Yes","Master's degree","Computer Science","1 to 2 years","University courses","A bachelor's degree","Internet-based","20 to 99 employees","Stayed the same","6-10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",4e+08,"IRR",5,2,3,24,3e-05,0.85,12000,12300,1.025
40,75,25,0,0,0,"Male","United States","Employed full-time","Yes","Some college/university study without earning a bachelor's degree","Other","More than 10 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Manufacturing","10,000 or more employees","Increased significantly","Don't know","A career fair or on-campus recruiting event","Sometimes",60000,"USD",3,5,8,1,1,1,60000,110000,1.83333333333333
38,100,0,0,0,0,"Male","Brazil","Employed full-time","Sort of (Explain more)","Doctoral degree","Computer Science","6 to 10 years","Self-taught","A bachelor's degree","Academic","1,000 to 4,999 employees","Stayed the same","Don't know","Some other way","Sometimes",150000,"BRL",6,4,6,5,0.32135,0.91,48202.5,32135,0.666666666666667
24,10,80,10,0,0,"Female","Nigeria","Employed full-time","Yes","Bachelor's degree","Electrical Engineering","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","High school","Other","1,000 to 4,999 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",2e+05,"NGN",4,2,6,32,0.002788,0.83,557.6,3011.04,5.4
61,0,80,0,0,20,"Female","Czech Republic","Employed full-time","Yes","Master's degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Mix of fields","1,000 to 4,999 employees","Increased slightly","3-5 years","Some other way","Rarely",9e+05,"CZK",5,3,6,28,0.04582,0.86,41238,24742.8,0.6
29,0,60,30,10,0,"Male","Spain","Employed full-time","Yes","Master's degree","Engineering (non-computer focused)","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Mix of fields","10 to 19 employees","Stayed the same","6-10 years","Some other way","Sometimes",60000,"EUR",5,4,2,2,1.195826,0.98,71749.56,46637.214,0.65
30,40,10,10,40,0,"Male","France","Employed full-time","","Master's degree","Mathematics or statistics","3 to 5 years","University courses","A bachelor's degree","Technology","20 to 99 employees","Increased slightly","1-2 years","A general-purpose job board","Sometimes",35500,"EUR",5,3,3,2,1.195826,0.99,42451.823,55605.909,1.30985915492958
34,50,40,10,0,0,"Male","Netherlands","Employed full-time","Sort of (Explain more)","Doctoral degree","Physics","More than 10 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Other","10,000 or more employees","Increased slightly","More than 10 years","I visited the company's Web site and found a job listing there","Sometimes",45000,"EUR",6,5,8,2,1.195826,1,53812.17,77130.777,1.43333333333333
33,10,20,15,50,5,"Male","United Kingdom","Employed full-time","","Doctoral degree","Computer Science","6 to 10 years","Self-taught","A master's degree","Internet-based","500 to 999 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",85000,"GBP",6,4,5,4,1.324188,0.96,112555.98,66209.4,0.588235294117647
29,5,40,5,25,25,"Male","Sweden","Employed full-time","No","Master's degree","Computer Science","Less than a year","University courses","A bachelor's degree","Technology","20 to 99 employees","Stayed the same","Less than one year","A career fair or on-campus recruiting event","Rarely",524000,"SEK",5,1,3,25,0.125204,0.8,65606.896,75122.4,1.14503816793893
30,30,30,30,10,0,"Male","Germany","Employed full-time","Sort of (Explain more)","Doctoral degree","Physics","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Mix of fields","20 to 99 employees","Increased significantly","3-5 years","A general-purpose job board","Rarely",85000,"EUR",6,2,3,2,1.195826,0.99,101645.21,71749.56,0.705882352941176
25,60,10,30,0,0,"Male","United Kingdom","Employed full-time","Yes","Bachelor's degree","Mathematics or statistics","3 to 5 years","Self-taught","Some college/university study, no bachelor's degree","Non-profit","100 to 499 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",32650,"GBP",4,3,4,4,1.324188,0.96,43234.7382,66209.4,1.53139356814701
33,30,30,40,0,0,"Male","Singapore","Employed full-time","","Master's degree","Computer Science","6 to 10 years","University courses","I prefer not to answer","CRM/Marketing","20 to 99 employees","Stayed the same","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",75000,"SGD",5,4,3,12,0.742589,0.96,55694.175,59407.12,1.06666666666667
37,30,30,10,20,10,"Male","Germany","Employed full-time","Sort of (Explain more)","Master's degree","","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Retail","10 to 19 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",2e+05,"EUR",5,3,2,2,1.195826,0.99,239165.2,71749.56,0.3
35,10,20,35,20,15,"Male","Spain","Employed full-time","","Master's degree","Electrical Engineering","3 to 5 years","Work","High school","Insurance","10,000 or more employees","Increased significantly","3-5 years","A tech-specific job board","Sometimes",40000,"EUR",5,3,8,2,1.195826,0.98,47833.04,46637.214,0.975
33,50,5,0,40,5,"Male","Taiwan","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","University courses","A bachelor's degree","Other","10 to 19 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",65000,"USD",5,2,2,1,1,0.26,65000,30153.32,0.463897230769231
37,60,0,20,20,0,"Female","India","Independent contractor, freelancer, or self-employed","Yes","Professional degree","","1 to 2 years","Self-taught","High school","Technology","","","","","",15000,"USD",2,2,NA,1,1,0.04,15000,15114.75,1.00765
30,40,10,40,10,0,"Male","Netherlands","Employed full-time","Yes","Bachelor's degree","Mathematics or statistics","1 to 2 years","Self-taught","A bachelor's degree","Other","Fewer than 10 employees","Stayed the same","1-2 years","A general-purpose job board","Sometimes",36000,"EUR",4,2,1,2,1.195826,1,43049.736,77130.777,1.79166666666667
22,0,100,0,0,0,"Male","India","Employed full-time","No","Bachelor's degree","Computer Science","I don't write code to analyze data","Self-taught","A bachelor's degree","Technology","100 to 499 employees","Stayed the same","Less than one year","A general-purpose job board","Never",360000,"INR",4,6,4,3,0.01562,0.94,5623.2,15114.75,2.6879268032437
28,20,5,20,50,5,"Male","Switzerland","Employed part-time","Yes","Master's degree","Mathematics or statistics","6 to 10 years","University courses","A bachelor's degree","Other","10 to 19 employees","Stayed the same","6-10 years","A friend, family member, or former colleague told me","Sometimes",60000,"CHF",5,4,2,14,1.043382,0.95,62602.92,104338.2,1.66666666666667
24,10,60,30,0,0,"Female","Russia","Employed full-time","No","Master's degree","","Less than a year","Online courses (coursera, udemy, edx, etc.)","A professional degree","Financial","10,000 or more employees","Stayed the same","Less than one year","A general-purpose job board","Never",840000,"RUB",5,1,8,6,0.017402,0.76,14617.68,22622.6,1.54761904761905
36,25,25,0,50,0,"Male","Australia","Employed full-time","","Master's degree","","3 to 5 years","University courses","High school","Financial","20 to 99 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",130000,"AUD",5,3,3,8,0.80231,0.98,104300.3,96277.2,0.923076923076923
25,70,10,20,0,0,"Male","India","Employed full-time","","Professional degree","","3 to 5 years","Self-taught","A bachelor's degree","Technology","500 to 999 employees","Increased slightly","3-5 years","A friend, family member, or former colleague told me","Sometimes",2100000,"INR",2,3,5,3,0.01562,0.94,32802,15114.75,0.460787451984635
54,20,60,20,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","","Some college/university study without earning a bachelor's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Financial","","","","","Always",1400,"USD",3,2,NA,1,1,1,1400,110000,78.5714285714286
32,40,20,40,0,0,"Male","Taiwan","Independent contractor, freelancer, or self-employed","Yes","Master's degree","Other","Less than a year","Kaggle competitions","A bachelor's degree","Technology","","","","","Sometimes",60000,"USD",5,1,NA,1,1,0.26,60000,30153.32,0.502555333333333
26,40,20,0,0,40,"Male","Germany","Independent contractor, freelancer, or self-employed","","Master's degree","Mathematics or statistics","3 to 5 years","Self-taught","A master's degree","Financial","","","","","Sometimes",60000,"EUR",5,3,NA,2,1.195826,0.99,71749.56,71749.56,1
25,80,0,0,20,0,"Male","India","Employed full-time","No","Bachelor's degree","Electrical Engineering","1 to 2 years","Self-taught","Some college/university study, no bachelor's degree","Academic","10 to 19 employees","Stayed the same","More than 10 years","Some other way","Sometimes",148800,"INR",4,2,2,3,0.01562,0.94,2324.256,15114.75,6.50304871752509
21,45,5,20,20,10,"Male","Russia","Employed full-time","Yes","Bachelor's degree","Computer Science","3 to 5 years","University courses","A professional degree","Financial","1,000 to 4,999 employees","Increased significantly","6-10 years","A career fair or on-campus recruiting event","Sometimes",1400000,"RUB",4,3,6,6,0.017402,0.76,24362.8,22622.6,0.928571428571429
32,20,15,45,10,10,"Male","United States","Employed full-time","Yes","Master's degree","A social science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","CRM/Marketing","100 to 499 employees","Stayed the same","3-5 years","A general-purpose job board","Sometimes",65000,"USD",5,3,4,1,1,1,65000,110000,1.69230769230769
37,40,5,10,40,5,"Male","Brazil","Employed full-time","Yes","Doctoral degree","Computer Science","6 to 10 years","University courses","A bachelor's degree","Academic","500 to 999 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Always",140000,"BRL",6,4,5,5,0.32135,0.91,44989,32135,0.714285714285714
30,30,30,10,30,0,"Male","Germany","Employed part-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Insurance","1,000 to 4,999 employees","Stayed the same","3-5 years","I visited the company's Web site and found a job listing there","",10000,"EUR",5,3,6,2,1.195826,0.99,143499.12,71749.56,0.5
21,10,45,25,15,5,"Female","India","Employed full-time","","Master's degree","Computer Science","1 to 2 years","University courses","High school","Technology","10 to 19 employees","Stayed the same","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",10000,"INR",5,2,2,3,0.01562,0.94,156.2,15114.75,96.7653649167734
35,30,30,40,0,0,"Female","India","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","High school","Academic","1,000 to 4,999 employees","Increased slightly","More than 10 years","A general-purpose job board","Most of the time",5e+05,"INR",5,2,6,3,0.01562,0.94,7810,15114.75,1.93530729833547
28,70,30,0,0,0,"Male","Switzerland","Employed full-time","","Master's degree","Mathematics or statistics","6 to 10 years","University courses","A master's degree","Financial","10 to 19 employees","Increased slightly","1-2 years","A career fair or on-campus recruiting event","",105000,"CHF",5,4,2,14,1.043382,0.95,109555.11,104338.2,0.952380952380952
20,60,10,20,0,10,"Male","Russia","Independent contractor, freelancer, or self-employed","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","Self-taught","A master's degree","Military/Security","","","","","Most of the time",3113,"USD",4,2,NA,1,1,0.21,3113,22622.6,7.26713780918728
33,70,0,10,20,0,"Male","Chile","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Professional degree","","6 to 10 years","University courses","A professional degree","Mix of fields","","","","","Most of the time",1e+05,"EUR",2,4,NA,2,1.195826,0.1,119582.6,38544,0.322321140366575
23,70,20,10,0,0,"Male","India","Employed full-time","Yes","Master's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Internet-based","Fewer than 10 employees","Increased significantly","Less than one year","A friend, family member, or former colleague told me","Sometimes",480000,"INR",5,1,1,3,0.01562,0.94,7497.6,15114.75,2.01594510243278
32,15,5,70,5,5,"Female","United Kingdom","Employed full-time","","Doctoral degree","Mathematics or statistics","3 to 5 years","Self-taught","A doctoral degree","Technology","100 to 499 employees","Increased slightly","1-2 years","A tech-specific job board","Rarely",50000,"GBP",6,3,4,4,1.324188,0.96,66209.4,66209.4,1
47,0,0,0,100,0,"Male","United States","Employed full-time","","Master's degree","Other","3 to 5 years","University courses","A doctoral degree","Government","1,000 to 4,999 employees","Increased significantly","More than 10 years","A friend, family member, or former colleague told me","",198000,"USD",5,3,6,1,1,1,198000,110000,0.555555555555556
31,20,40,20,20,0,"Male","Sweden","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","I don't know/not sure","Financial","10 to 19 employees","Stayed the same","3-5 years","Some other way","Sometimes",426000,"SEK",5,2,2,25,0.125204,0.8,53336.904,75122.4,1.40845070422535
35,0,0,0,100,0,"Male","United States","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","6 to 10 years","University courses","A bachelor's degree","Mix of fields","100 to 499 employees","Decreased slightly","More than 10 years","A career fair or on-campus recruiting event","Sometimes",147000,"USD",5,4,4,1,1,1,147000,110000,0.748299319727891
35,80,10,0,10,0,"Male","India","Employed full-time","Sort of (Explain more)","Bachelor's degree","Electrical Engineering","More than 10 years","Work","A bachelor's degree","CRM/Marketing","10,000 or more employees","Increased significantly","More than 10 years","A career fair or on-campus recruiting event","Sometimes",2e+06,"INR",4,5,8,3,0.01562,0.94,31240,15114.75,0.483826824583867
25,40,50,7,3,0,"Female","Ukraine","Employed full-time","","Master's degree","","1 to 2 years","Work","A master's degree","Technology","100 to 499 employees","Increased slightly","3-5 years","An external recruiter or headhunter","Rarely",12000,"USD",5,2,4,1,1,0.8,12000,18800.32,1.56669333333333
39,0,100,0,0,0,"Male","United Kingdom","Employed full-time","","Doctoral degree","Biology","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","High school","Government","100 to 499 employees","Increased slightly","3-5 years","A friend, family member, or former colleague told me","Sometimes",39000,"GBP",6,3,4,4,1.324188,0.96,51643.332,66209.4,1.28205128205128
34,50,40,5,0,5,"Male","Poland","Employed full-time","","Bachelor's degree","","More than 10 years","University courses","A bachelor's degree","Telecommunications","10,000 or more employees","Increased significantly","1-2 years","Some other way","Sometimes",120000,"PLN",4,5,8,11,0.281104,0.92,33732.48,25299.36,0.75
19,30,12,50,8,0,"Male","Russia","Employed full-time","Yes","Bachelor's degree","Computer Science","3 to 5 years","Self-taught","A master's degree","Financial","100 to 499 employees","Increased significantly","1-2 years","A friend, family member, or former colleague told me","",40000,"USD",4,3,4,1,1,0.21,40000,22622.6,0.565565
28,70,20,0,10,0,"Male","United States","Employed full-time","Yes","Master's degree","Fine arts or performing arts","3 to 5 years","Self-taught","A bachelor's degree","Academic","100 to 499 employees","Increased slightly","1-2 years","A friend, family member, or former colleague told me","Never",41000,"USD",5,3,4,1,1,1,41000,110000,2.68292682926829
